                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.34272,                0.29663,                0.89686,                0.94098,                0.89634,                0.96008,                0.89408,                0.38129,                0.36261,                0.84889,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.3453,                0.29809,                0.90133,                0.94247,                0.90244,                 0.9573,                0.89709,                0.37358,                0.36532,                0.84693,              0.0002774,              0.0002774,              0.0002774
                     89,                0.33516,                0.29681,                0.89846,                0.93631,                0.90244,                 0.9638,                0.89558,                0.37712,                0.36465,                0.85796,              0.0002576,              0.0002576,              0.0002576
                     90,                0.33662,                0.29413,                0.89986,                0.90724,                0.92073,                0.95936,                0.89262,                0.38358,                0.37238,                0.86101,              0.0002378,              0.0002378,              0.0002378
                     91,                0.29197,                0.24332,                0.86105,                0.96614,                 0.8699,                0.95324,                0.87782,                0.41179,                0.37962,                0.88918,               0.000218,               0.000218,               0.000218
                     92,                0.27756,                 0.2374,                0.85353,                 0.9271,                0.90854,                0.95375,                0.88571,                0.40331,                0.36892,                 0.8799,              0.0001982,              0.0001982,              0.0001982
                     93,                0.27714,                0.23269,                0.85206,                0.90888,                0.92683,                0.96256,                0.88754,                0.39863,                0.35423,                 0.8741,              0.0001784,              0.0001784,              0.0001784
                     94,                0.27143,                0.22404,                0.85065,                0.90164,                0.93902,                 0.9622,                0.88795,                0.41012,                0.35297,                 0.8803,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.2621,                0.22074,                0.84809,                0.92326,                0.92073,                0.96304,                 0.8994,                0.37531,                0.34071,                0.86295,              0.0001388,              0.0001388,              0.0001388
                     96,                0.25294,                0.21443,                0.84327,                0.91379,                0.92683,                0.96405,                0.89789,                 0.3988,                0.35564,                0.87176,               0.000119,               0.000119,               0.000119
                     97,                 0.2548,                0.22275,                0.84276,                0.92057,                0.91874,                0.96248,                0.89548,                0.38435,                0.34712,                 0.8663,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.25043,                0.21372,                0.84543,                0.94838,                0.89628,                 0.9649,                0.89637,                0.37197,                0.33651,                0.85823,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.2494,                0.21609,                0.84666,                0.94832,                 0.8951,                0.96505,                0.89584,                0.37672,                 0.3431,                0.86186,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.23978,                0.21022,                 0.8407,                0.93686,                0.90481,                0.96603,                0.90066,                0.37122,                0.34454,                0.85854,               3.98e-05,               3.98e-05,               3.98e-05
